"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"1001","6.3","15.1","14.5","1.5","21.5","10.4","21.7","26.9","7.1","2.8","0.4068094775613421","1.5282842535412582","1.9149365047369482"
"1011","5.5","16.2","40.6","0.8","23.9","22.4","46","79.6","14.5","3","0.7330034817665384","3.0602895363752975","3.967381345061389"
"1021","6.3","16.4","21.7","2.9","16.1","18.2","26.5","20.7","4.5","6.4","0.02520450014893568","1.4160346447311138","1.718488646518342"
"1029","6.4","19.2","27.2","2.1","18.1","16.9","27.3","7.6","4.5","4.5","0.0734704782260219","1.3024312049158429","1.4360138925995192"
"1049","6.3","16.9","20.1","3.3","20.9","21.8","35.4","20.4","5.8","4.3","0","1.4920755459927717","1.8169289400779085"
"17095","6.3","21.3","22.8","1.2","25.1","11.1","28.4","18.2","5","5.2","0.04535233092084128","0.6424913547119182","2.038965210982823"
"1085","5.6","19","44.2","1.7","35","15.3","41.3","75.2","13.4","8.9","2.053279051243473","4.717231613417116","4.9827418355606685"
"1093","6.5","20.8","26.8","2.8","20.2","18.7","29.9","9.1","4.3","5.9","0.02274499610085781","1.1534962308292176","1.6376397192617624"
"2180","6","7.6","20.2","31.2","22.2","12.4","36.8","85.7","9.9","18.6","5.478297513695743","10.872313527180784","12.484197218710493"
"5003","6.1","20.5","28.5","1.8","22.5","14.8","36.5","32.4","4.9","5","0.5628517823639775","1.7022834393447122","2.7684986043106212"
"5017","5.7","20.8","31.3","3.1","26.5","21.6","44.9","61.2","8.3","14.1","0.2627118644067797","3.957627118644068","5.203389830508474"
"5061","6.1","17.5","24.3","3.2","23.5","11.9","31.7","36.8","10.3","5.7","0.4713902385959823","1.5447095510914497","2.4874900282834145"
"5071","6.2","16.2","32.5","2.8","26.2","19.9","35.5","21.9","6.8","3.8","0.1644479248238058","1.311667971808927","1.609240407204385"
"5083","6.4","19.6","25.2","2.7","17.4","12.3","28.4","11.5","5.4","4.8","0.03131570706392878","0.7247349349080661","1.3778911108128664"
"5091","6.3","16.5","20.4","3.5","23.9","13.1","32.7","32.4","11.7","7.5","0.029911186783857163","1.6244075284156274","2.8599696286411116"
"5105","6.4","19.9","25.5","3.8","15.4","8.7","27.9","8.7","5.5","4.3","0.3063666826232647","2.029679272379129","2.0679751077070367"
"5135","6.5","25","39.9","2.5","23.9","17.8","35.7","8.5","5.7","5.5","0.03475440222428174","1.1642724745134383","1.5176088971269694"
"6095","5.6","15.9","7.3","5.6","27.8","11.1","14.9","63.7","6.6","6","0","0.215317024076798","0.7265135093287916"
"8023","5.4","26.3","19.8","5","21","13.1","37.2","66.9","10.3","7.7","3.887627695800227","3.887627695800227","3.887627695800227"
"8031","5.9","11.7","9.4","3.1","30.2","10","18.4","46","5.4","4.6","0","0.2802595316566638","1.6718930681587183"
"8047","6.3","17.3","7.4","1.5","27","6.3","11.1","14.6","4.6","1.9","0","2.2973718066531887","2.2973718066531887"
"8073","6.1","17.1","24.2","0.9","27.2","11.3","25.4","29.5","4.5","2.6","0.29266508139747577","0.5121638924455826","1.2255350283519297"
"8085","6.2","23.9","18.5","1.4","23.7","11.2","18.8","24.8","4.1","5.3","0.03634073069095843","0.7825370675453047","1.463320089155926"
"8095","6.2","16.7","25.4","1.2","25.7","13.2","25.8","32.4","3.5","1.1","0.13507429085997297","0.6078343088698784","1.0130571814497973"
"8103","6.3","15.7","12.7","2.4","22.3","8.5","23.2","17","4.3","7","0","0.030003000300030006","0.555055505550555"
"8111","6.2","24.8","19.9","1.5","28.5","3.4","22.5","17.2","4","6.9","3.719599427753934","3.719599427753934","3.719599427753934"
"8123","5.9","12.1","10.4","3.3","26.4","11.9","16.8","35.7","5.9","4.9","0.019380994759220803","0.362305942845842","0.8812419657866113"
"13031","6.1","11.4","16.9","2","28.5","11.8","32.1","37.2","8.4","9.1","0","0.7063816454704701","1.7673782702194625"
"13033","5.8","15.7","19.4","1.2","21.6","16.1","27","52.4","6.6","5.6","0.2058672156459084","1.7541602333161777","2.581917996225768"
"13053","5.8","3.1","17.3","2","30.8","4.9","36.8","44.7","12.1","11.7","1.1005591550545841","1.3579479897044466","1.3579479897044466"
"13087","5.9","16.1","34.6","6","25.7","15.6","33.5","50.4","10","5.7","0.14007614395517562","1.4474534875368148","2.011349759356368"
"13133","6","29.3","22.8","0.5","23.6","12.4","24.9","41.8","6.5","5.5","0.3126172314617982","2.1945729648618233","2.882330874077779"
"13139","5.9","15","9.4","5.1","26.3","19.4","21.8","40.5","6.4","3.6","0","0.7563277754279735","1.2616593575387902"
"13171","6.1","17.4","20.6","0.2","24.2","10.3","22.7","34.8","5.8","8.4","0","1.1737729977616422","2.041819075176066"
"13197","5.9","20.6","41.9","0.9","16.2","23","30.1","41.9","6.7","5.7","0","2.036147334706017","2.5509036833676504"
"13225","5.9","16","18.7","1.7","27.1","15","25.2","54.7","9.4","8.7","0","2.2783896010110127","3.0402599747246795"
"13257","6.2","19.6","20.7","1.4","23.9","16.1","23.1","18.3","6.1","5.4","0","1.7650429799426932","2.804202483285578"
