County,State_Abbr,State_Desc,CountyFIPS,Latitude,Longitude
Aleutians East Borough,AK,Alaska,2013,55.2450437,-161.9974772
Aleutians West Census Area,AK,Alaska,2016,51.9594469,178.338813
Anchorage Municipality,AK,Alaska,2020,61.1742503,-149.2843294
Bethel Census Area,AK,Alaska,2050,60.9291413,-160.1526246
Bristol Bay Borough,AK,Alaska,2060,58.741661,-156.9668053
Chugach Census Area,AK,Alaska,2063,60.4884737,-146.2030924
Copper River Census Area,AK,Alaska,2066,62.034479,-143.9221674
Denali Borough,AK,Alaska,2068,63.6820386,-150.0270164
Dillingham Census Area,AK,Alaska,2070,59.5433255,-158.2671226
Fairbanks North Star Borough,AK,Alaska,2090,64.6760436,-146.5481586
Haines Borough,AK,Alaska,2100,59.0984037,-135.5757906
Hoonah-Angoon Census Area,AK,Alaska,2105,58.403336,-135.884909
Juneau City and Borough,AK,Alaska,2110,58.3729099,-134.1784454
Kenai Peninsula Borough,AK,Alaska,2122,60.360766,-152.0526403
Ketchikan Gateway Borough,AK,Alaska,2130,55.4499378,-131.1066847
Kodiak Island Borough,AK,Alaska,2150,57.7044003,-153.9183721
Kusilvak Census Area,AK,Alaska,2158,62.2835878,-163.1901714
Lake and Peninsula Borough,AK,Alaska,2164,58.1085067,-156.4134134
Matanuska-Susitna Borough,AK,Alaska,2170,62.2656263,-149.5039935
Nome Census Area,AK,Alaska,2180,64.7836858,-164.1889119
North Slope Borough,AK,Alaska,2185,69.4493427,-153.4728302
Northwest Arctic Borough,AK,Alaska,2188,67.0050655,-160.0210864
Petersburg Borough,AK,Alaska,2195,57.1124581,-133.0085979
Prince of Wales-Hyder Census Area,AK,Alaska,2198,55.6827733,-133.1623885
Sitka City and Borough,AK,Alaska,2220,57.1932044,-135.3673965
Skagway Municipality,AK,Alaska,2230,59.5603794,-135.3382787
Southeast Fairbanks Census Area,AK,Alaska,2240,63.8649972,-143.2186282
Wrangell City and Borough,AK,Alaska,2275,56.1807793,-132.0267878
