StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,GHLTH,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST,HEARING,VISION,COGNITION,MOBILITY,SELFCARE,INDEPLIVE,DISABILITY,Longitude,Latitude
AL,Alabama,Autauga,1001,59095,10.4,28.2,15.5,37.2,65.3,6.3,10.2,84.3,5.7,76,85.1,71.5,6.8,44,41.3,16.9,62.9,22.7,10.7,17.3,32.1,2.9,29.1,74.8,18,38.9,11.7,37.5,3,12.7,6,4.7,14.3,14.7,3.7,8.2,30.2,-86.6464395,32.5322367
AL,Alabama,Bullock,1011,10320,19.2,30,12.4,48.9,70.3,5.5,11.6,82.9,7.9,78.2,82.1,69.7,9.8,32.8,31.8,25.7,45,20.2,18.7,30.7,33.4,4.1,43.6,75.1,20.5,48.9,16.6,46,5.1,24.3,6.9,10.4,20.6,23.9,8,14.1,41.9,-85.7172613,32.1017589
AL,Alabama,Chilton,1021,45274,14.1,29,15.8,37.5,64.4,6.3,10.4,81.6,6.5,72.7,83,70.2,8.3,44.8,36.1,21.7,55,24.3,11.5,20.6,33.8,3,34.1,69.3,19.7,42.3,13.6,40.8,3.3,16.8,7,5.7,17.2,17.3,4.4,9.9,35.4,-86.7266071,32.8540514
AL,Alabama,Cleburne,1029,15103,12.5,28.7,15.9,35.7,63.4,6.4,10.5,82.4,6.5,73.7,82.8,70.5,8.5,41.9,37.7,20.7,59,26,11,19.8,33.4,3,32.2,71.1,19.9,36.1,13.6,36.9,3.2,15.6,7.1,5.3,17.1,16.6,4.2,9.7,34.5,-85.5161261,33.6719637
AL,Alabama,DeKalb,1049,71813,16.7,30.2,15,36.7,64.4,6.3,10.8,80,7.1,71.8,81.7,68.3,9.5,39.7,36.8,22.2,52.9,25.8,12.5,23.1,34.5,3.2,35,69.8,20.7,41,15.1,37,3.5,18.6,7.8,6.7,18.9,19,5.2,11.1,37.5,-85.8040207,34.4609148
IL,Illinois,Knox,17095,49268,10.2,24.1,17,32.4,61.6,6.3,10.4,79.5,6.1,77.5,79,64.6,7.7,42.6,37,19.9,57.9,22.5,10.6,17.6,29.6,3,30.4,71.1,17.3,42,12.4,35.9,3.1,14.4,8,5.4,16.6,16.1,4.2,9.3,35.4,-90.2137921,40.9309446
AL,Alabama,Lowndes,1085,9965,15.5,29.6,11.9,47.7,70.6,5.6,12,83.4,7.1,80,83.9,71,8.9,37.8,33,23.3,48.4,20,17.3,27.8,32,3.9,41.6,75.3,20.4,47.4,15.4,46.3,4.7,22.1,6.1,9.1,19.2,22.3,7,13.3,39.2,-86.6505859,32.147888
AL,Alabama,Marion,1093,29246,13.1,29.4,15.9,37,64.2,6.5,10.6,81.8,6.8,73.7,82.5,68.8,9,42.7,34.5,22,54.9,25.8,11.4,21,34.1,3.1,33.3,68.4,20.3,39.2,14.1,37.2,3.3,16.4,7.4,5.7,17.7,17.4,4.6,10.2,35.8,-87.881551,34.1382194
AK,Alaska,Nome,2180,9865,15.6,22.9,18.4,33,51.6,6,11.9,77.3,8,61.1,70.8,58.3,9.6,28.7,27.3,30.9,47.6,19.8,13.8,24.8,28.2,3.9,30,57,18.8,40.8,16.3,35.3,4.7,23.7,11.3,8.8,18.6,18.1,6,12.2,38.9,-164.1889119,64.7836858
AR,Arkansas,Ashley,5003,18674,13.5,27.3,13.7,40.2,64.2,6.1,10.8,79.8,7.3,75.2,79.4,65,9.4,36.9,31.8,25.7,50.3,26.9,13.3,26,31.2,3.4,37.8,71,20.7,42,15.9,36.4,3.8,20.8,7.4,7.4,20.2,19.4,5.6,11.6,38.2,-91.7722672,33.1908354
AR,Arkansas,Chicot,5017,10019,15.9,28.8,12.1,45.2,66.8,5.7,11.1,79.4,7.9,78.1,79.6,65.3,9.9,33.6,32.6,27.1,41.7,23,16,30.6,32,3.9,39.6,70.6,20.8,47.1,17,40.5,4.7,24.1,7.2,9.9,21.8,22.2,7.3,13.6,41.5,-91.2971578,33.2671393
AR,Arkansas,Howard,5061,12698,12.9,27.6,13.9,38.4,62.6,6.1,10.3,80,6.8,76.8,81,66,8.2,37.6,36,22.5,49.7,26.2,12.3,23.5,32.6,3.2,34,67.9,19.7,41.3,14.4,35.6,3.5,19.4,7,6.6,18.5,17.3,4.9,10.2,35.5,-93.9909315,34.0830639
AR,Arkansas,Johnson,5071,25845,14.4,27.6,14.1,36,62.2,6.2,10,78,7.4,72.8,79,63.9,9.3,39.2,32.8,24.3,48.5,27.6,11.9,24.9,33.1,3.2,36.5,64.5,20.7,38.6,15.6,33,3.5,20.1,7.9,6.9,19.9,18.3,5.1,10.9,37.3,-93.4663223,35.5733586
AR,Arkansas,Logan,5083,21215,11,26.5,15.6,36.3,61.4,6.4,9.8,78.4,6.8,73.4,80.3,65.8,8.5,43,33.7,22.9,53,26.9,10.6,21.6,32.5,3,31.8,63.5,19.6,39.9,14.1,32,3.2,17.5,7.3,5.5,18,16.1,4.3,9.5,35.4,-93.7209102,35.2186538
AR,Arkansas,Miller,5091,42649,11.5,26.5,14.5,38.8,64.1,6.3,10.4,80.9,7,76.5,81,67.3,8.5,42.4,32.3,23,50.4,24.6,12.1,23.5,32.4,3.2,32,69,19.8,38.1,14.5,37.5,3.6,17.8,7,6.5,18.5,17.4,4.9,10.4,35.2,-93.9015018,33.3055054
AR,Arkansas,Perry,5105,9964,10.3,27.4,15.7,35.9,60.8,6.4,9.7,80.1,6.6,74.8,81,66.3,8.1,42.1,37.5,21.6,54.8,27,10.1,20.5,32.6,2.9,30.3,68.2,19.3,37.7,13.7,32.5,3.1,16.3,7.2,5.2,17.2,15.4,4,9.1,33.4,-92.9268773,34.9463629
AR,Arkansas,Sharp,5135,17622,12.4,28.4,14.4,37.9,61.3,6.5,10.5,78.9,7.5,74.9,79.3,63.1,9.9,36,34.9,26,49.2,29.9,11.5,24.4,33.7,3.2,34.4,68.1,21,40,15.8,35.3,3.5,19.9,8,6.6,20.4,18.2,5.1,11,38.4,-91.4710689,36.1733989
CA,California,Solano,6095,451716,9.3,19.5,16.2,27.4,55.3,5.6,9.6,82.3,4.6,63.3,84.8,61.9,4.8,38.4,33.4,11.4,63.4,17.2,10.2,15.8,29.9,2.8,20.6,71.7,15.3,29.9,10.4,35.3,2.7,9,5.5,4.5,12.1,11,3.2,6.6,25.2,-121.939594,38.2672255
CO,Colorado,Costilla,8023,3625,23.6,22.9,16.4,28.2,54.6,5.4,10.6,79.2,5.9,65,79,61.3,6.2,34,30.9,17.1,51.5,21,12.1,21.5,29.2,3.5,26.2,62.8,16.4,31.7,13.5,30.9,3.2,14.7,7.1,7.9,15.8,14.4,5.2,9,31.9,-105.4289399,37.2775474
CO,Colorado,Denver,8031,711463,12.1,20.2,21,24.6,52.9,5.9,9.6,84.2,4.4,64.7,82.6,72.1,4.6,48.9,43.6,12.6,65.6,21.2,7.5,14,28.6,2.7,16.9,73.8,14.7,22,9.5,27.5,2.4,9.7,5,4.1,10.9,9.2,2.9,5.9,23.1,-104.8811054,39.7618502
