State_Abbr,State_Desc,County,CountyFIPS,Latitude,Longitude,Total_Population,AGE65,BROAD,CROWD,HCOST,NOHSDP,POV150,REMNRTY,SNGPNT,UNEMP
AK,Alaska,Aleutians East Borough,2013,55.2450437,-161.9974772,3409,11.7,42.5,4.6,16.6,15.3,22.7,87.2,7.9,4.5
AK,Alaska,Aleutians West Census Area,2016,51.9594469,178.338813,5251,7.0,23.0,8.0,15.5,9.0,11.3,77.1,5.0,3.8
AK,Alaska,Anchorage Municipality,2020,61.1742503,-149.2843294,292545,11.5,7.3,4.5,25.7,5.8,15.1,43.9,6.0,5.4
AK,Alaska,Bethel Census Area,2050,60.9291413,-160.1526246,18514,7.5,25.2,31.7,18.8,18.0,43.9,90.8,8.8,18.1
AK,Alaska,Bristol Bay Borough,2060,58.741661,-156.9668053,849,13.1,23.5,5.4,7.9,5.3,8.0,58.8,3.8,2.4
AK,Alaska,Chugach Census Area,2063,60.4884737,-146.2030924,7015,13.5,11.1,5.2,18.0,4.6,8.3,28.7,4.4,3.6
AK,Alaska,Copper River Census Area,2066,62.034479,-143.9221674,2635,14.5,25.2,5.1,15.6,5.9,20.7,42.2,4.8,7.7
AK,Alaska,Denali Borough,2068,63.6820386,-150.0270164,2187,11.8,16.0,3.2,16.6,1.6,22.6,20.3,2.1,2.6
AK,Alaska,Dillingham Census Area,2070,59.5433255,-158.2671226,4899,11.2,25.6,26.1,19.5,13.5,31.7,85.6,13.0,12.6
AK,Alaska,Fairbanks North Star Borough,2090,64.6760436,-146.5481586,97149,11.1,11.6,4.4,26.3,5.5,14.0,31.6,6.0,6.3
AK,Alaska,Haines Borough,2100,59.0984037,-135.5757906,2098,20.9,15.9,12.8,28.1,2.3,27.4,20.3,1.6,3.7
AK,Alaska,Hoonah-Angoon Census Area,2105,58.403336,-135.884909,2327,22.9,40.6,3.3,16.6,6.3,21.3,55.7,2.5,15.0
AK,Alaska,Juneau City and Borough,2110,58.3729099,-134.1784454,32240,13.9,8.0,3.1,21.5,4.6,12.0,37.5,5.1,5.1
AK,Alaska,Kenai Peninsula Borough,2122,60.360766,-152.0526403,58711,17.9,15.0,4.9,23.3,6.0,18.8,21.3,4.3,8.2
AK,Alaska,Ketchikan Gateway Borough,2130,55.4499378,-131.1066847,13939,16.0,12.4,4.8,28.1,6.0,15.7,37.5,5.2,4.7
AK,Alaska,Kodiak Island Borough,2150,57.7044003,-153.9183721,13218,11.4,10.4,9.8,20.7,9.5,12.2,52.6,6.3,5.8
AK,Alaska,Kusilvak Census Area,2158,62.2835878,-163.1901714,8354,5.9,30.0,42.0,18.4,20.4,57.3,96.7,16.1,24.7
AK,Alaska,Lake and Peninsula Borough,2164,58.1085067,-156.4134134,986,9.9,33.9,11.9,10.7,10.7,27.9,75.7,11.9,15.8
AK,Alaska,Matanuska-Susitna Borough,2170,62.2656263,-149.5039935,106807,12.2,10.6,5.2,26.2,6.3,17.2,22.3,5.8,7.4
AK,Alaska,Nome Census Area,2180,64.7836858,-164.1889119,10070,7.6,20.2,31.2,22.2,12.4,36.8,85.7,9.9,18.6
